system   D            wsystem.c:583  maybe_parent_dir                 [   0.00071] Also searching D:\CPP\ants\
display  D   display_settings.c:486  _al_score_display_settings       [   0.02984] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02985] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02986] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02987] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02988] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02989] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02990] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02991] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02992] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02993] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02995] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02996] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02997] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02998] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02999] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03000] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03001] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03002] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03003] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03004] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03005] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03006] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03007] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03008] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03009] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03010] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03011] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03012] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03014] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03015] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03016] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03017] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03018] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03019] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03020] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03021] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03022] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03023] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03024] Score is : 586
